Data,Hora UTC,PRECIPITACAO TOTAL,TEMPERATURA MAXIMA,TEMPERATURA MINIMA,UMIDADE REL MAX,UMIDADE REL MIN
2021/01/06,1000 UTC,0,18,3,21,4
2021/01/06,1100 UTC,0,3,25,3,19
2021/01/06,1200 UTC,0,2,27,9,20
2021/01/06,1300 UTC,,8,18,3,27
2021/01/06,1400 UTC,0,4,19,4,27
2021/01/06,1500 UTC,0,7,17,28,4
2021/01/06,1600 UTC,0,18,8,29,20
2021/01/06,1700 UTC,0,16,3,22,8
2021/01/06,1800 UTC,31,2,17,7,18
2021/01/06,1900 UTC,0,18,7,19,2
2021/01/06,2000 UTC,0,3,19,3,20
2021/01/06,2100 UTC,0,21,6,20,1
2021/01/06,2200 UTC,0,18,9,20,3
2021/01/06,2300 UTC,0,18,8,20,2
2021/01/07,0000 UTC,0,18,2,19,5
2021/01/07,0100 UTC,0,18,8,19,6
2021/01/07,0200 UTC,0,20,2,18,9
2021/01/07,0300 UTC,0,2,20,1,19
2021/01/07,0400 UTC,0,19,1,20,1
2021/01/07,0500 UTC,0,18,8,20,1
2021/01/07,0600 UTC,0,18,8,20,2
2021/01/07,0700 UTC,0,18,8,19,8
2021/01/07,0800 UTC,0,7,20,8,18
2021/01/07,0900 UTC,0,18,8,19,9
2021/01/07,1000 UTC,0,21,6,20,21
2021/01/07,1100 UTC,0,2,19,3,23
2021/01/07,1200 UTC,0,2,27,8,21
2021/01/07,1300 UTC,,20,8,27,21
2021/01/07,1400 UTC,,29,9,30,28
2021/01/07,1500 UTC,0,6,18,2,29
2021/01/07,1600 UTC,0,7,19,7,29
2021/01/07,1700 UTC,0,5,18,3,28
2021/01/07,1800 UTC,0,1,18,1,27
2021/01/07,1900 UTC,0,8,18,5,24
2021/01/07,2000 UTC,0,2,17,8,23
2021/01/07,2100 UTC,0,4,18,2,22
2021/01/07,2200 UTC,18,19,5,5,19
2021/01/07,2300 UTC,9,5,18,5,19
2021/01/08,0000 UTC,5,18,1,19,4
2021/01/08,0100 UTC,1,4,18,19,2
2021/01/08,0200 UTC,,3,18,19,3
2021/01/08,0300 UTC,0,18,19,3,18
2021/01/08,0400 UTC,0,18,1,19,3
2021/01/08,0500 UTC,,5,17,9,19
2021/01/08,0600 UTC,,3,17,7,19
2021/01/08,0700 UTC,0,17,5,19,17
2021/01/08,0800 UTC,0,17,4,18,8
2021/01/08,0900 UTC,0,1,17,1,18
2021/01/08,1000 UTC,0,18,8,19,1
2021/01/08,1100 UTC,0,19,6,20,2
2021/01/08,1200 UTC,0,19,9,6,20
2021/01/08,1300 UTC,0,20,27,8,21
2021/01/08,1400 UTC,0,2,21,26,3
2021/01/08,1500 UTC,0,8,16,4,27
2021/01/08,1600 UTC,0,6,17,6,28
2021/01/08,1700 UTC,0,17,5,28,19
2021/01/08,1800 UTC,0,5,17,4,28
2021/01/08,1900 UTC,0,18,2,28,2
2021/01/08,2000 UTC,0,17,7,27,4
2021/01/08,2100 UTC,0,9,17,5,26
2021/01/08,2200 UTC,0,7,26,1,17
2021/01/08,2300 UTC,0,4,25,3,18
2021/01/09,0000 UTC,0,18,1,24,3
2021/01/09,0100 UTC,0,18,6,23,18
2021/01/09,0200 UTC,0,19,4,22,6
2021/01/09,0300 UTC,16,19,9,23,7
2021/01/09,0400 UTC,4,18,6,19,6
2021/01/09,0500 UTC,0,20,3,9,18
2021/01/09,0600 UTC,0,18,8,20,18
2021/01/09,0700 UTC,0,7,20,9,18
2021/01/09,0800 UTC,0,18,8,19,9
2021/01/09,0900 UTC,0,6,19,6,20
2021/01/09,1000 UTC,0,5,20,7,20
2021/01/09,1100 UTC,,21,1,21,6
2021/01/09,1200 UTC,,21,5,21,6
2021/01/09,1300 UTC,,23,20,21,5
2021/01/09,1400 UTC,0,4,21,6,23
2021/01/09,1500 UTC,,28,5,28,8
2021/01/09,1600 UTC,0,6,19,28,2
2021/01/09,1700 UTC,0,5,29,2,21
2021/01/09,1800 UTC,0,19,3,26,8
2021/01/09,1900 UTC,4,19,3,21,2
2021/01/09,2000 UTC,,22,2,22,2
2021/01/09,2100 UTC,,21,7,22,3
2021/01/09,2200 UTC,1,20,6,21,7
2021/01/09,2300 UTC,3,20,6,19,18
2021/01/10,0000 UTC,,18,9,20,3
